study,treatment,sampleSize,responders
Wang_1,remdesivir,158,13
Wang_1,standardCare,77,9
Beigel,remdesivir,434,76
Beigel,standardCare,410,86
Corral-Gudino,corticosteroid,34,6
Corral-Gudino,standardCare,29,3
Horby_2,hcq,1300,118
Horby_2,standardCare,2623,215
Horby_1,corticosteroid,1780,102
Horby_1,standardCare,3638,285
Calvacanti,hcq,221,16
Calvacanti,standardCare,227,13
Jeronimo,corticosteroid,98,20
Jeronimo,standardCare,98,17
Spinner,remdesivir,193,1
Spinner,standardCare,200,11
Abd-Elsalam,hcq,97,4
Abd-Elsalam,standardCare,97,5
Dequin,corticosteroid,16,8
Dequin,standardCare,16,12
Tomazini,corticosteroid,151,55
Tomazini,standardCare,148,58
Angus,corticosteroid,278,125
Angus,standardCare,101,52
Sekhavati,azithromycin,56,0
Sekhavati,standardCare,55,3
Furtado,azithromycin,237,135
Furtado,standardCare,210,110
Rosas,tocilizumab,183,51
Rosas,standardCare,90,33
Salama,tocilizumab,249,20
Salama,standardCare,128,16
Stone,tocilizumab,161,11
Stone,standardCare,81,8
Hermine,tocilizumab,63,5
Hermine,standardCare,67,14
SoliRem,remdesivir,2489,295
SoliRem,standardCare,2475,284
SoliHcq,hcq,862,75
SoliHcq,standardCare,824,66
SoliLop,lopinavirRitonavir,1287,126
SoliLop,standardCare,1258,121
SoliInt,interferon,1911,209
SoliInt,standardCare,1920,210
Cao1,lopinavirRitonavir,98,13
Cao1,standardCare,100,18
Houdi,interferon,33,6
Houdi,standardCare,28,6
Rahmani,interferon,33,2
Rahmani,standardCare,33,6
Veiga,tocilizumab,65,7
Veiga,standardCare,64,11
Horby,tocilizumab,1754,215
Horby,standardCare,1800,273
Salvarani,tocilizumab,60,6
Salvarani,standardCare,63,5
